"treatment","plays"
"lollipop_hammer",17
"jellyfish",16
"color_bomb",13
"lollipop_hammer",14
"jellyfish",15
"color_bomb",11
"lollipop_hammer",22
"jellyfish",20
"color_bomb",16
"lollipop_hammer",16
"jellyfish",21
"color_bomb",14
"lollipop_hammer",20
"jellyfish",12
"color_bomb",9
"lollipop_hammer",17
"jellyfish",18
"color_bomb",10
"lollipop_hammer",20
"jellyfish",12
"color_bomb",21
"lollipop_hammer",16
"jellyfish",13
"color_bomb",19
"lollipop_hammer",14
"jellyfish",9
"color_bomb",12
"lollipop_hammer",19
"jellyfish",19
"color_bomb",22
"lollipop_hammer",11
"jellyfish",24
"color_bomb",14
"lollipop_hammer",17
"jellyfish",11
"color_bomb",25
"lollipop_hammer",10
"jellyfish",16
"color_bomb",19
"lollipop_hammer",8
"jellyfish",10
"color_bomb",15
"lollipop_hammer",13
"jellyfish",12
"color_bomb",14
"lollipop_hammer",14
"jellyfish",6
"color_bomb",16
"lollipop_hammer",21
"jellyfish",24
"color_bomb",10
"lollipop_hammer",15
"jellyfish",12
"color_bomb",21
"lollipop_hammer",15
"jellyfish",16
"color_bomb",18
"lollipop_hammer",18
"jellyfish",17
"color_bomb",16
"lollipop_hammer",16
"jellyfish",14
"color_bomb",16
"lollipop_hammer",22
"jellyfish",18
"color_bomb",6
"lollipop_hammer",16
"jellyfish",7
"color_bomb",28
"lollipop_hammer",11
"jellyfish",17
"color_bomb",17
"lollipop_hammer",17
"jellyfish",26
"color_bomb",17
"lollipop_hammer",16
"jellyfish",17
"color_bomb",11
"lollipop_hammer",9
"jellyfish",21
"color_bomb",14
"lollipop_hammer",7
"jellyfish",15
"color_bomb",10
"lollipop_hammer",11
"jellyfish",20
"color_bomb",11
"lollipop_hammer",12
"jellyfish",19
"color_bomb",16
"lollipop_hammer",15
"jellyfish",13
"color_bomb",11
"lollipop_hammer",18
"jellyfish",18
"color_bomb",12
"lollipop_hammer",13
"jellyfish",17
"color_bomb",17
"lollipop_hammer",13
"jellyfish",20
"color_bomb",17
"lollipop_hammer",14
"jellyfish",12
"color_bomb",12
"lollipop_hammer",13
"jellyfish",28
"color_bomb",17
"lollipop_hammer",14
"jellyfish",16
"color_bomb",18
"lollipop_hammer",14
"jellyfish",21
"color_bomb",22
"lollipop_hammer",12
"jellyfish",28
"color_bomb",11
"lollipop_hammer",12
"jellyfish",20
"color_bomb",11
"lollipop_hammer",15
"jellyfish",29
"color_bomb",20
"lollipop_hammer",21
"jellyfish",18
"color_bomb",20
"lollipop_hammer",17
"jellyfish",13
"color_bomb",15
"lollipop_hammer",21
"jellyfish",20
"color_bomb",20
"lollipop_hammer",13
"jellyfish",15
"color_bomb",7
"lollipop_hammer",12
"jellyfish",15
"color_bomb",22
"lollipop_hammer",11
"jellyfish",20
"color_bomb",12
"lollipop_hammer",7
"jellyfish",9
"color_bomb",18
"lollipop_hammer",16
"jellyfish",16
"color_bomb",17
"lollipop_hammer",21
"jellyfish",18
"color_bomb",17
"lollipop_hammer",16
"jellyfish",12
"color_bomb",17
"lollipop_hammer",18
"jellyfish",18
"color_bomb",19
"lollipop_hammer",14
"jellyfish",16
"color_bomb",12
"lollipop_hammer",13
"jellyfish",13
"color_bomb",16
"lollipop_hammer",16
"jellyfish",20
"color_bomb",13
"lollipop_hammer",14
"jellyfish",21
"color_bomb",15
"lollipop_hammer",12
"jellyfish",19
"color_bomb",19
"lollipop_hammer",18
"jellyfish",19
"color_bomb",12
"lollipop_hammer",21
"jellyfish",13
"color_bomb",21
"lollipop_hammer",18
"jellyfish",19
"color_bomb",18
"lollipop_hammer",10
"jellyfish",17
"color_bomb",21
"lollipop_hammer",16
"jellyfish",20
"color_bomb",20
"lollipop_hammer",14
"jellyfish",22
"color_bomb",20
"lollipop_hammer",11
"jellyfish",14
"color_bomb",19
"lollipop_hammer",19
"jellyfish",17
"color_bomb",18
"lollipop_hammer",11
"jellyfish",21
"color_bomb",22
"lollipop_hammer",13
"jellyfish",20
"color_bomb",8
"lollipop_hammer",20
"jellyfish",15
"color_bomb",20
"lollipop_hammer",20
"jellyfish",21
"color_bomb",22
"lollipop_hammer",14
"jellyfish",22
"color_bomb",16
"lollipop_hammer",11
"jellyfish",15
"color_bomb",7
"lollipop_hammer",15
"jellyfish",11
"color_bomb",14
"lollipop_hammer",13
"jellyfish",24
"color_bomb",12
"lollipop_hammer",7
"jellyfish",12
"color_bomb",12
"lollipop_hammer",15
"jellyfish",13
"color_bomb",21
"lollipop_hammer",10
"jellyfish",10
"color_bomb",17
"lollipop_hammer",22
"jellyfish",18
"color_bomb",18
"lollipop_hammer",13
"jellyfish",14
"color_bomb",10
"lollipop_hammer",17
"jellyfish",19
"color_bomb",22
"lollipop_hammer",17
"jellyfish",10
"color_bomb",16
"lollipop_hammer",15
"jellyfish",22
"color_bomb",24
"lollipop_hammer",16
"jellyfish",13
"color_bomb",22
"lollipop_hammer",10
"jellyfish",18
"color_bomb",16
"lollipop_hammer",7
"jellyfish",16
"color_bomb",15
"lollipop_hammer",21
"jellyfish",11
"color_bomb",15
"lollipop_hammer",15
"jellyfish",15
"color_bomb",11
"lollipop_hammer",17
"jellyfish",16
"color_bomb",30
"lollipop_hammer",11
"jellyfish",16
"color_bomb",21
"lollipop_hammer",21
"jellyfish",20
"color_bomb",20
"lollipop_hammer",19
"jellyfish",15
"color_bomb",17
"lollipop_hammer",17
"jellyfish",19
"color_bomb",17
"lollipop_hammer",13
"jellyfish",15
"color_bomb",18
"lollipop_hammer",10
"jellyfish",18
"color_bomb",24
"lollipop_hammer",10
"jellyfish",23
"color_bomb",21
"lollipop_hammer",9
"jellyfish",19
"color_bomb",16
"lollipop_hammer",14
"jellyfish",17
"color_bomb",9
"lollipop_hammer",10
"jellyfish",11
"color_bomb",17
"lollipop_hammer",16
"jellyfish",16
"color_bomb",12
"lollipop_hammer",15
"jellyfish",20
"color_bomb",18
"lollipop_hammer",18
"jellyfish",10
"color_bomb",19
"lollipop_hammer",14
"jellyfish",16
"color_bomb",17
"lollipop_hammer",17
"jellyfish",15
"color_bomb",13
"lollipop_hammer",8
"jellyfish",12
"color_bomb",15
"lollipop_hammer",16
"jellyfish",13
"color_bomb",23
"lollipop_hammer",14
"jellyfish",15
"color_bomb",22
"lollipop_hammer",13
"jellyfish",18
"color_bomb",20
"lollipop_hammer",20
"jellyfish",18
"color_bomb",16
"lollipop_hammer",17
"jellyfish",7
"color_bomb",19
"lollipop_hammer",15
"jellyfish",13
"color_bomb",14
"lollipop_hammer",22
"jellyfish",15
"color_bomb",16
"lollipop_hammer",12
"jellyfish",19
"color_bomb",20
"lollipop_hammer",22
"jellyfish",15
"color_bomb",17
"lollipop_hammer",11
"jellyfish",16
"color_bomb",16
"lollipop_hammer",12
"jellyfish",9
"color_bomb",14
"lollipop_hammer",15
"jellyfish",16
"color_bomb",16
"lollipop_hammer",15
"jellyfish",19
"color_bomb",11
"lollipop_hammer",18
"jellyfish",19
"color_bomb",17
"lollipop_hammer",18
"jellyfish",15
"color_bomb",23
"lollipop_hammer",17
"jellyfish",14
"color_bomb",15
"lollipop_hammer",14
"jellyfish",18
"color_bomb",17
"lollipop_hammer",20
"jellyfish",23
"color_bomb",9
"lollipop_hammer",17
"jellyfish",17
"color_bomb",17
"lollipop_hammer",15
"jellyfish",26
"color_bomb",20
"lollipop_hammer",15
"jellyfish",9
"color_bomb",15
"lollipop_hammer",10
"jellyfish",12
"color_bomb",17
"lollipop_hammer",14
"jellyfish",19
"color_bomb",22
"lollipop_hammer",14
"jellyfish",11
"color_bomb",13
"lollipop_hammer",15
"jellyfish",7
"color_bomb",21
"lollipop_hammer",11
"jellyfish",27
"color_bomb",16
"lollipop_hammer",12
"jellyfish",19
"color_bomb",13
"lollipop_hammer",18
"jellyfish",17
"color_bomb",17
"lollipop_hammer",15
"jellyfish",14
"color_bomb",17
"lollipop_hammer",17
"jellyfish",20
"color_bomb",19
"lollipop_hammer",19
"jellyfish",22
"color_bomb",12
"lollipop_hammer",22
"jellyfish",16
"color_bomb",14
