clean_names,median_age_male,total_population,male,employed,unemployed,white,black,asian,median_income,harrys_orders_last_month
"New York-Newark-Jersey City, NY-NJ-PA",36.2,19865045,0.4829149393,0.5880301953,0.0601790532,0.5938955084,0.1717750954,0.1021422302,66902,3844.2908129764
"Los Angeles-Long Beach-Anaheim, CA",34.4,13060534,0.4929935483,0.5819183365,0.0682681929,0.5567925477,0.0676097164,0.1506837316,60337,4572.0560807559
"Chicago-Naperville-Elgin, IL-IN-WI",35.1,9516448,0.4887042939,0.6025803665,0.0706367723,0.6661109271,0.1702989393,0.0596202491,61497,2273.1482330967
"Dallas-Fort Worth-Arlington, TX",33.2,6703020,0.4924296809,0.6383295528,0.0528284204,0.6949449651,0.1500707144,0.0568455711,59175,1878.5820060411
"Houston-The Woodlands-Sugar Land, TX",32.7,6204141,0.4970784835,0.6213290521,0.0519470683,0.6559515653,0.172401143,0.0693436851,58689,2378.5155134498
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",36.6,6015336,0.482856818,0.588377167,0.0643247122,0.6813788955,0.208950589,0.0528821665,62169,1927.2482824723
"Washington-Arlington-Alexandria, DC-VA-MD-WV",35.2,5863608,0.487751057,0.6666584697,0.0491421368,0.5591149681,0.2541815551,0.0950051572,91756,1870.0996938915
"Miami-Fort Lauderdale-West Palm Beach, FL",38.7,5775204,0.4849655527,0.5610436595,0.0703945892,0.7161452652,0.2128168979,0.0236963058,48435,1815.7764425655
"Atlanta-Sandy Springs-Roswell, GA",34.3,5455053,0.4857373521,0.6025068554,0.0727267227,0.5605621064,0.3289069785,0.0515091237,56618,1206.3344165353
"Boston-Cambridge-Newton, MA-NH",37.2,4650876,0.4847196528,0.6361454979,0.0545304644,0.7811848779,0.0769083072,0.0695800103,74494,874.5559442773
"San Francisco-Oakland-Hayward, CA",37.6,4466251,0.4931169341,0.6103032397,0.0582850926,0.5395484938,0.0796746533,0.2397827619,80008,1334.7644311496
"Riverside-San Bernardino-Ontario, CA",32.2,4345485,0.4974554049,0.519236867,0.0854434103,0.6413005683,0.0740117616,0.0632914393,55362,1614.029900847
"Phoenix-Mesa-Scottsdale, AZ",34.4,4337542,0.4965835489,0.567561198,0.0566056954,0.8004992228,0.0511264214,0.0348964921,53310,1068.4543492712
"Detroit-Warren-Dearborn, MI",38.3,4292647,0.4848630693,0.5469577408,0.0786367867,0.701795186,0.2253679373,0.0359062835,52305,1122.230055999
"Seattle-Tacoma-Bellevue, WA",36.1,3557037,0.498710303,0.6198547615,0.0551565217,0.7250914174,0.0558470435,0.1190533019,68969,1354.1276333608
"Minneapolis-St. Paul-Bloomington, MN-WI",35.5,3424786,0.4941751105,0.6749108022,0.048063626,0.8115236981,0.0744659666,0.0594034197,68019,936.1691087554
"San Diego-Carlsbad, CA",33.5,3183143,0.50210311,0.5594305268,0.0593691256,0.7098311323,0.0503640584,0.1124668292,63996,1010.81673639
"Tampa-St. Petersburg-Clearwater, FL",40.4,2851235,0.4842410394,0.5363948347,0.0620789663,0.7935368358,0.1195580161,0.030554479,46706,1022.4743412209
"Baltimore-Columbia-Towson, MD",36.6,2753396,0.4819942355,0.6168454433,0.0547447208,0.6182503352,0.2882800004,0.0492134077,70311,1035.6799723336
"St. Louis, MO-IL",36.9,2797737,0.4842799734,0.602064447,0.0585702779,0.7654593695,0.1833867872,0.0222050893,54959,751.3278169349
"Denver-Aurora-Lakewood, CO",35.2,2651392,0.4975774989,0.6555975587,0.053505938,0.8152313954,0.0554210769,0.0377145288,64206,510.164865186
"Pittsburgh, PA",40.9,2358793,0.4845702866,0.5799173444,0.0461120102,0.8747206728,0.0819584423,0.0195799292,51883,796.1579594769
"Portland-Vancouver-Hillsboro, OR-WA",36.5,2288796,0.4938640228,0.6026373725,0.064315404,0.8196309326,0.0284110074,0.0597676682,58832,783.1709706889
"Charlotte-Concord-Gastonia, NC-SC",35.5,2298915,0.4861036619,0.6018001448,0.072321107,0.6922857087,0.2204270275,0.0297844853,52591,599.1216889889
"San Juan-Carolina-Caguas, PR",36,2297987,0.4752646555,0.403660681,0.0820660017,0.6639145478,0.0988761033,0.0036867049,22254,859.9553389034
"Sacramento--Roseville--Arden-Arcade, CA",35.1,2197422,0.4898653968,0.5501136408,0.0750602343,0.6655849445,0.0718947021,0.1237891493,59439,781.0357788113
"San Antonio-New Braunfels, TX",32.9,2239222,0.4921271763,0.5855075552,0.048485526,0.7904861599,0.0648814633,0.0220085369,52786,805.1620759516
"Orlando-Kissimmee-Sanford, FL",35.3,2226835,0.4889554008,0.5815494454,0.0685852985,0.7189010412,0.1621345991,0.0408759517,48559,775.4478449582
"Cincinnati, OH-KY-IN",36,2131793,0.4890080791,0.607101402,0.0557211001,0.8279396733,0.1220601625,0.0207238695,55204,485.2554145831
"San Jose-Sunnyvale-Santa Clara, CA",35.7,1898457,0.5021319946,0.6110938395,0.0602394978,0.5032871432,0.0259336925,0.3224307951,92960,591.3055359158
"Cleveland-Elyria, OH",39.4,2067490,0.4814804425,0.5796795676,0.0636486121,0.7437472491,0.1995409893,0.0206283948,49551,555.1204725708
"Kansas City, MO-KS",35.6,2040869,0.4900113628,0.6327829874,0.0504779054,0.7909517955,0.1254397024,0.0245782556,57056,404.5169915235
"Las Vegas-Henderson-Paradise, NV",35.6,2003613,0.5018698721,0.5754385898,0.0790493072,0.6492815728,0.1070521104,0.0899190612,52070,498.5419993375
"Columbus, OH",34.6,1948188,0.4914720756,0.6262494733,0.0512010039,0.7800987379,0.1447042072,0.0328767039,55115,723.0855871541
"Indianapolis-Carmel-Anderson, IN",35,1931182,0.4884842547,0.6135465729,0.0596072814,0.7785837896,0.1461503887,0.023345288,52434,514.4041857486
"Austin-Round Rock, TX",32.7,1835016,0.5004822846,0.6532677058,0.0485195235,0.7827855452,0.0730118974,0.0504148193,61900,516.9896599322
"Virginia Beach-Norfolk-Newport News, VA-NC",33.4,1697898,0.4919783167,0.5707319852,0.0514314212,0.6021616139,0.3088789786,0.0366847714,59244,535.0310906304
"Nashville-Davidson--Murfreesboro--Franklin, TN",35.2,1730515,0.4877051051,0.6186463016,0.0522182446,0.7775927975,0.152787465,0.0232404804,52805,556.6326057901
"Providence-Warwick, RI-MA",38.2,1604317,0.4840589484,0.5931670829,0.0635659968,0.8360311584,0.0541975183,0.0274808532,56267,389.8931217102
"Milwaukee-Waukesha-West Allis, WI",35.9,1565368,0.4863552851,0.6183154429,0.0563726923,0.7453959708,0.1653777259,0.0310252925,53628,564.6546805103
"Jacksonville, FL",36.4,1380995,0.4867179099,0.5645198033,0.066644737,0.7069866292,0.2156336554,0.0351036752,52067,479.5551571909
"Memphis, TN-MS-AR",33.8,1337014,0.4798745563,0.5795136131,0.071320107,0.4801812098,0.459582323,0.0194919425,47647,349.5659668452
"Oklahoma City, OK",33.4,1297998,0.4928982941,0.6079098893,0.0394938814,0.7417630844,0.1014493089,0.0300393375,50967,281.025662993
"Richmond, VA",36.5,1234058,0.4845671759,0.6038567901,0.0541358692,0.6223945714,0.3009777498,0.0344181554,59677,415.8323056109
"Hartford-West Hartford-East Hartford, CT",38.8,1215159,0.4872564002,0.6128033968,0.0635006933,0.7715755716,0.1084903292,0.042580436,68959,289.244311623
"Louisville/Jefferson County, KY-IN",37.2,1253305,0.487837358,0.5949241985,0.0579966391,0.8087305165,0.1389717587,0.0170644815,50386,419.5062747497
"New Orleans-Metairie, LA",36.1,1226440,0.4846384658,0.5760120581,0.0572474638,0.5839886175,0.3469423698,0.0283063175,47412,348.3905676146
"Raleigh, NC",34.5,1189579,0.487981042,0.6416553033,0.0554985873,0.6952434433,0.2017814706,0.0478581078,62794,225.9497188993
"Urban Honolulu, HI",35.3,975690,0.504546526,0.5761142436,0.03603739,0.215075485,0.0247711876,0.4317067921,73581,181.6086941636
