"","variable","value"
"1","x",2.44
"2","y",6.04
"3","x",1.89
"4","y",6.24
"5","x",4.43
"6","y",4.67
"7","x",7.03
"8","y",6.21
"9","x",7.21
"10","y",5.56
"11","x",1.03
"12","y",6.39
"13","x",7.71
"14","y",5.47
"15","x",5.53
"16","y",7.46
"17","x",3.95
"18","y",6.58
"19","x",7.21
"20","y",6.75
"21","x",6.56
"22","y",3.1
"23","x",7.15
"24","y",6.75
"25","x",6.95
"26","y",5.72
"27","x",4.95
"28","y",6.31
"29","x",0.67
"30","y",6.74
"31","x",2.67
"32","y",5.56
"33","x",8.15
"34","y",6.4
"35","x",5.96
"36","y",5.63
"37","x",5.12
"38","y",5.86
"39","x",2.08
"40","y",4.47
"41","x",5.93
"42","y",8
"43","x",2.9
"44","y",5.16
"45","x",3.8
"46","y",6.15
