StoreID,Campaign,Sales
1,Version A,4761.03
2,Version C,4847.08
3,Version C,4019.45
4,Version C,5168.35
5,Version C,3902.57
6,Version C,4012.05
7,Version B,5045
8,Version A,4714.91
9,Version B,3614.3
10,Version A,3598.41
12,Version A,3792.54
13,Version A,3882.31
14,Version B,3753.81
15,Version A,3399.68
16,Version A,3315.33
17,Version A,4132.13
18,Version A,4217.69
19,Version B,3077.29
20,Version A,4446.53
21,Version C,3826.55
22,Version A,2981.72
23,Version A,4265.99
24,Version A,3494.94
25,Version A,4526.33
26,Version A,3534.06
27,Version A,3689.6
28,Version C,4807.85
29,Version A,6012.58
30,Version B,4356.71
31,Version B,5136.96
32,Version B,3976.07
33,Version C,4241.14
34,Version C,4342.26
35,Version C,4652.41
36,Version B,5267.63
37,Version B,5249.18
38,Version C,5201.79
39,Version C,4826.03
40,Version C,6521.31
41,Version C,4107.42
42,Version B,5145.4
43,Version C,6173.45
44,Version B,5354.36
45,Version B,4736.68
46,Version C,4562.51
47,Version C,4745.85
48,Version A,3685.03
49,Version C,4230.9
50,Version B,4887.68
51,Version C,4652.23
52,Version C,4065.16
53,Version B,5728.91
54,Version B,3971.46
55,Version B,4894.09
56,Version A,4647.12
57,Version B,5544.83
58,Version C,6236.57
59,Version B,3672.69
60,Version A,5449.9
61,Version B,4644.29
62,Version C,5443.86
63,Version C,5106.02
64,Version B,5623.04
65,Version A,4459.46
66,Version B,5929.59
67,Version B,6397.13
68,Version B,5689.4
69,Version B,5448.41
70,Version B,5882.67
71,Version C,4842.88
72,Version B,3963.64
73,Version A,5894.1
74,Version B,5547.26
75,Version B,4372.2
76,Version C,3779.8
77,Version A,6098.7
78,Version C,5463.52
79,Version B,4576.87
80,Version C,5428.15
81,Version B,4434.59
82,Version B,4618.28
83,Version B,4569.94
84,Version B,5441.85
85,Version B,5031.01
86,Version C,5108.54
87,Version A,6252.42
88,Version A,4970.38
89,Version C,4693.29
90,Version B,5856.74
91,Version A,4798.36
92,Version C,4401.77
93,Version B,4873.07
94,Version C,4780.35
95,Version B,4497.39
96,Version B,3726.85
97,Version B,4470.74
98,Version C,5349.49
99,Version A,3854.78
100,Version Zero,4704.5
101,Version Zero,3540.97
102,Version Zero,3298.47
103,Version Zero,2790.72
104,Version Zero,4208.81
105,Version Zero,3229.36
106,Version Zero,4111.28
107,Version Zero,3165.42
108,Version Zero,3836.98
109,Version Zero,4375.97
110,Version Zero,3941.99
