"","sample","D","size","trial"
"1",1,12,50,TRUE
"2",2,15,50,TRUE
"3",3,8,50,TRUE
"4",4,10,50,TRUE
"5",5,4,50,TRUE
"6",6,7,50,TRUE
"7",7,16,50,TRUE
"8",8,9,50,TRUE
"9",9,14,50,TRUE
"10",10,10,50,TRUE
"11",11,5,50,TRUE
"12",12,6,50,TRUE
"13",13,17,50,TRUE
"14",14,12,50,TRUE
"15",15,22,50,TRUE
"16",16,8,50,TRUE
"17",17,10,50,TRUE
"18",18,5,50,TRUE
"19",19,13,50,TRUE
"20",20,11,50,TRUE
"21",21,20,50,TRUE
"22",22,18,50,TRUE
"23",23,24,50,TRUE
"24",24,15,50,TRUE
"25",25,9,50,TRUE
"26",26,12,50,TRUE
"27",27,7,50,TRUE
"28",28,13,50,TRUE
"29",29,9,50,TRUE
"30",30,6,50,TRUE
